# vim: ts=42 ft=curlrc
	--abstract-unix-socket	path	# string
	--alt-svc	filename	# string
	--anyauth		# no_parameter
-a 	--append		# no_parameter
	--aws-sigv4	provider1[:prvdr2[:reg[:srv]]]	# kv_colon
	--basic		# no_parameter
	--ca-native		# no_parameter
	--cacert	file	# string
	--capath	dir	# string
	--cert-status		# no_parameter
	--cert-type	type	# string
-E 	--cert	certificate[:password]	# kv_colon
	--ciphers	list	# string
	--compressed-ssh		# no_parameter
	--compressed		# no_parameter
-K 	--config	file	# string
	--connect-timeout	seconds	# numeric
	--connect-to	host1:port1:host2:port2	# kv_colon
-C 	--continue-at	offset	# numeric
-c 	--cookie-jar	filename	# string
-b 	--cookie	data|filename	# form_data
	--create-dirs		# no_parameter
	--create-file-mode	mode	# numeric
	--crlf		# no_parameter
	--crlfile	file	# string
	--curves	list	# string
	--data-ascii	data	# string
	--data-binary	data	# string
	--data-raw	data	# string
	--data-urlencode	data	# string
-d 	--data	data	# string
	--delegation	level	# string
	--digest		# no_parameter
	--disable-eprt		# no_parameter
	--disable-epsv		# no_parameter
-q 	--disable		# no_parameter
	--disallow-username-in-url		# no_parameter
	--dns-interface	interface	# string
	--dns-ipv4-addr	address	# urls
	--dns-ipv6-addr	address	# urls
	--dns-servers	addresses	# urls
	--doh-cert-status		# no_parameter
	--doh-insecure		# no_parameter
	--doh-url	url	# urls
	--dump-ca-embed		# no_parameter
-D 	--dump-header	filename	# string
	--ech	config	# string
	--egd-file	file	# string
	--engine	name	# string
	--etag-compare	file	# string
	--etag-save	file	# string
	--expect100-timeout	seconds	# numeric
	--fail-early		# no_parameter
	--fail-with-body		# no_parameter
-f 	--fail		# no_parameter
	--false-start		# no_parameter
	--form-escape		# no_parameter
	--form-string	name=string	# form_data
-F 	--form	name=content	# form_data
	--ftp-account	data	# string
	--ftp-alternative-to-user	command	# string
	--ftp-create-dirs		# no_parameter
	--ftp-method	method	# string
	--ftp-pasv		# no_parameter
-P 	--ftp-port	address	# port
	--ftp-pret		# no_parameter
	--ftp-skip-pasv-ip		# no_parameter
	--ftp-ssl-ccc-mode	active/passive	# string
	--ftp-ssl-ccc		# no_parameter
	--ftp-ssl-control		# no_parameter
-G 	--get		# no_parameter
-g 	--globoff		# no_parameter
	--happy-eyeballs-timeout-ms	ms	# string
	--haproxy-clientip	ip	# string
	--haproxy-protocol		# no_parameter
-I 	--head		# no_parameter
-H 	--header	header/@file	# headers
-h 	--help	subject	# string
	--hostpubmd5	md5	# md5
	--hostpubsha256	sha256	# string
	--hsts	filename	# string
	--http0.9		# no_parameter
-0 	--http1.0		# no_parameter
	--http1.1		# no_parameter
	--http2-prior-knowledge		# no_parameter
	--http2		# no_parameter
	--http3-only		# no_parameter
	--http3		# no_parameter
	--ignore-content-length		# no_parameter
-i 	--include		# no_parameter
-k 	--insecure		# no_parameter
	--interface	name	# string
	--ip-tos	string	# string
	--ipfs-gateway	url	# urls
-4 	--ipv4		# no_parameter
-6 	--ipv6		# no_parameter
	--json	data	# string
-j 	--junk-session-cookies		# no_parameter
	--keepalive-cnt	integer	# string
	--keepalive-time	seconds	# numeric
	--key-type	type	# string
	--key	key	# string
	--krb	level	# string
	--libcurl	file	# string
	--limit-rate	speed	# numeric
-l 	--list-only		# no_parameter
	--local-port	range	# range
	--location-trusted		# no_parameter
-L 	--location		# no_parameter
	--login-options	options	# string
	--mail-auth	address	# urls
	--mail-from	address	# urls
	--mail-rcpt-allowfails		# no_parameter
	--mail-rcpt	address	# urls
-M 	--manual		# no_parameter
	--max-filesize	bytes	# numeric
	--max-redirs	num	# numeric
-m 	--max-time	seconds	# numeric
	--metalink		# no_parameter
	--mptcp		# no_parameter
	--negotiate		# no_parameter
	--netrc-file	filename	# string
	--netrc-optional		# no_parameter
-n 	--netrc		# no_parameter
-: 	--next		# no_parameter
	--no-alpn		# no_parameter
-N 	--no-buffer		# no_parameter
	--no-clobber		# no_parameter
	--no-keepalive		# no_parameter
	--no-npn		# no_parameter
	--no-progress-meter		# no_parameter
	--no-sessionid		# no_parameter
	--noproxy	no-proxy-list	# urls
	--ntlm-wb		# no_parameter
	--ntlm		# no_parameter
	--oauth2-bearer	token	# string
	--output-dir	dir	# string
-o 	--output	file	# string
	--parallel-immediate		# no_parameter
	--parallel-max	num	# numeric
-Z 	--parallel		# no_parameter
	--pass	phrase	# string
	--path-as-is		# no_parameter
	--pinnedpubkey	hashes	# string
	--post301		# no_parameter
	--post302		# no_parameter
	--post303		# no_parameter
	--preproxy	[protocol://]host[:port]	# kv_colon
-# 	--progress-bar		# no_parameter
	--proto-default	protocol	# protocols
	--proto-redir	protocols	# protocols
	--proto	protocols	# protocols
	--proxy-anyauth		# no_parameter
	--proxy-basic		# no_parameter
	--proxy-ca-native		# no_parameter
	--proxy-cacert	file	# string
	--proxy-capath	dir	# string
	--proxy-cert-type	type	# string
	--proxy-cert	cert[:passwd]	# kv_colon
